stay_year,stay_month,season_band,arrangement_code,arrangement_name,booking_window_band,confirmed_bookings,revenue,avg_adr,avg_los,avg_booking_window,comparability_group,reliability
2025,2025-08,PEAK,OB,Only Bed,15-30,1,0.0,0.0,7.0,15.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-08,PEAK,OB,Only Bed,31-60,1,3107.15,388.39,8.0,46.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-08,PEAK,OB,Only Bed,61-90,1,882.5,126.07,7.0,73.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-08,PEAK,OB,Only Bed,91-180,49,43801.7,86.82,9.18,150.2,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-09,SHOULDER,BB,Bed & Breakfast,0-7,22,6544.01,110.21,2.64,3.23,COMPARABLE_COMMERCIAL,LOW
2025,2025-09,SHOULDER,BB,Bed & Breakfast,8-14,5,1013.21,82.18,3.4,11.8,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,BB,Bed & Breakfast,15-30,4,2766.25,158.56,4.75,19.5,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,BB,Bed & Breakfast,31-60,3,1489.37,95.47,4.33,47.67,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,BB,Bed & Breakfast,91-180,1,920.87,115.11,8.0,98.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,FB,Pensione Completa,0-7,21,9039.93,110.81,2.71,2.9,COMPARABLE_COMMERCIAL,LOW
2025,2025-09,SHOULDER,FB,Pensione Completa,8-14,4,1877.06,195.69,2.5,10.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,FB,Pensione Completa,15-30,5,3755.66,187.69,3.4,20.8,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,FB,Pensione Completa,31-60,3,3313.34,235.99,4.67,39.33,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,FB,Pensione Completa,61-90,2,1921.31,141.45,6.5,81.5,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,FB,Pensione Completa,91-180,1,738.2,369.1,2.0,110.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,HB,Mezza Pensione,0-7,61,33926.48,181.82,3.05,3.43,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-09,SHOULDER,HB,Mezza Pensione,8-14,17,14899.84,189.92,4.82,10.35,COMPARABLE_COMMERCIAL,LOW
2025,2025-09,SHOULDER,HB,Mezza Pensione,15-30,17,11574.23,181.57,3.59,23.12,COMPARABLE_COMMERCIAL,LOW
2025,2025-09,SHOULDER,HB,Mezza Pensione,31-60,4,4468.44,214.64,5.0,50.75,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-09,SHOULDER,HB,Mezza Pensione,61-90,4,4328.1,172.68,6.0,72.25,COMPARABLE_COMMERCIAL,INSUFFICIENT
