stay_year,stay_month_num,season,booking_window,room_name,quoted_requests,converted_requests,same_room_converted,conversion_pct
2024,9,SHOULDER,31-60,Villino Double,1,0,0,0.0
2024,9,SHOULDER,61-90,Appartamento Area Giardino,48,1,1,2.0833333333333335
2024,9,SHOULDER,61-90,Appartamento Area Piscina,25,1,1,4.0
2024,9,SHOULDER,61-90,Camera  Standard,53,0,0,0.0
2024,9,SHOULDER,61-90,Camera Deluxe,32,1,1,3.125
2024,9,SHOULDER,61-90,Camera Superior,50,0,0,0.0
2024,9,SHOULDER,61-90,Suite Familiare Vista Piscina,1,0,0,0.0
2024,9,SHOULDER,61-90,Villino Double,2,0,0,0.0
2024,9,SHOULDER,8-14,Appartamento Area Giardino,64,2,2,3.125
2024,9,SHOULDER,8-14,Appartamento Area Piscina,17,1,1,5.882352941176471
2024,9,SHOULDER,8-14,Camera  Standard,37,1,1,2.7027027027027026
2024,9,SHOULDER,8-14,Camera Deluxe,5,0,0,0.0
2024,9,SHOULDER,8-14,Camera Superior,13,0,0,0.0
2024,9,SHOULDER,8-14,Suite Familiare,6,0,0,0.0
2024,9,SHOULDER,91-180,Appartamento Area Giardino,83,2,0,0.0
2024,9,SHOULDER,91-180,Appartamento Area Piscina,43,2,2,4.651162790697675
2024,9,SHOULDER,91-180,Camera  Standard,77,2,2,2.5974025974025974
2024,9,SHOULDER,91-180,Camera Deluxe,49,0,0,0.0
2024,9,SHOULDER,91-180,Camera Superior,68,1,1,1.4705882352941178
2024,9,SHOULDER,91-180,Villino 2Ten,10,1,1,10.0
2024,9,SHOULDER,91-180,Villino Double,6,0,0,0.0
2025,5,SHOULDER,0-7,Appartamento Area Giardino,1,0,0,0.0
2025,5,SHOULDER,0-7,Camera Superior,1,0,0,0.0
2025,5,SHOULDER,15-30,Appartamento Area Giardino,39,3,2,5.128205128205129
2025,5,SHOULDER,15-30,Appartamento Area Piscina,10,8,7,70.0
2025,5,SHOULDER,15-30,Camera  Standard,7,3,1,14.285714285714286
2025,5,SHOULDER,15-30,Camera Deluxe,17,2,0,0.0
2025,5,SHOULDER,15-30,Camera Superior,15,9,3,20.0
2025,5,SHOULDER,15-30,Suite Familiare,1,0,0,0.0
2025,5,SHOULDER,15-30,Suite Familiare Vista Piscina,2,0,0,0.0
2025,5,SHOULDER,31-60,Appartamento Area Giardino,3,0,0,0.0
2025,5,SHOULDER,31-60,Appartamento Area Piscina,2,0,0,0.0
2025,5,SHOULDER,31-60,Camera  Standard,13,3,2,15.384615384615385
2025,5,SHOULDER,31-60,Camera Deluxe,3,0,0,0.0
2025,5,SHOULDER,31-60,Camera Superior,6,4,3,50.0
2025,5,SHOULDER,31-60,Suite Familiare,1,0,0,0.0
2025,5,SHOULDER,61-90,Appartamento Area Giardino,2,0,0,0.0
2025,5,SHOULDER,61-90,Appartamento Area Piscina,1,0,0,0.0
2025,5,SHOULDER,61-90,Camera  Standard,4,1,1,25.0
2025,5,SHOULDER,61-90,Camera Deluxe,3,0,0,0.0
2025,5,SHOULDER,8-14,Appartamento Area Giardino,7,0,0,0.0
2025,5,SHOULDER,8-14,Appartamento Area Piscina,2,0,0,0.0
2025,5,SHOULDER,91-180,Camera  Standard,1,0,0,0.0
2025,5,SHOULDER,91-180,Camera Deluxe,1,0,0,0.0
2025,5,SHOULDER,91-180,Camera Superior,1,0,0,0.0
2025,6,SHOULDER,0-7,Appartamento Area Giardino,55,19,17,30.90909090909091
2025,6,SHOULDER,0-7,Appartamento Area Piscina,16,4,4,25.0
2025,6,SHOULDER,0-7,Camera  Standard,25,14,10,40.0
2025,6,SHOULDER,0-7,Camera Deluxe,7,1,1,14.285714285714286
2025,6,SHOULDER,0-7,Camera Superior,21,12,8,38.095238095238095
2025,6,SHOULDER,0-7,Suite Familiare Vista Piscina,2,2,0,0.0
2025,6,SHOULDER,0-7,Villino 2Ten,1,0,0,0.0
2025,6,SHOULDER,15-30,Appartamento Area Giardino,119,9,2,1.680672268907563
2025,6,SHOULDER,15-30,Appartamento Area Piscina,59,4,4,6.779661016949152
2025,6,SHOULDER,15-30,Camera  Standard,62,6,3,4.838709677419355
2025,6,SHOULDER,15-30,Camera Deluxe,49,1,1,2.0408163265306123
2025,6,SHOULDER,15-30,Camera Superior,52,4,1,1.9230769230769231
2025,6,SHOULDER,15-30,Suite Familiare,2,0,0,0.0
2025,6,SHOULDER,15-30,Suite Familiare Vista Piscina,4,1,0,0.0
2025,6,SHOULDER,15-30,Villino Double,1,2,0,0.0
2025,6,SHOULDER,181+,Appartamento Area Piscina,1,0,0,0.0
2025,6,SHOULDER,181+,Camera  Standard,1,0,0,0.0
2025,6,SHOULDER,181+,Camera Superior,2,0,0,0.0
2025,6,SHOULDER,31-60,Appartamento Area Giardino,88,3,3,3.409090909090909
2025,6,SHOULDER,31-60,Appartamento Area Piscina,185,12,10,5.405405405405405
2025,6,SHOULDER,31-60,Camera  Standard,118,4,2,1.694915254237288
2025,6,SHOULDER,31-60,Camera Deluxe,109,4,2,1.834862385321101
2025,6,SHOULDER,31-60,Camera Superior,133,6,3,2.255639097744361
2025,6,SHOULDER,31-60,Suite Familiare,2,0,0,0.0
2025,6,SHOULDER,31-60,Suite Familiare Vista Piscina,2,0,0,0.0
2025,6,SHOULDER,61-90,Appartamento Area Giardino,53,2,1,1.8867924528301887
2025,6,SHOULDER,61-90,Appartamento Area Piscina,86,4,3,3.488372093023256
2025,6,SHOULDER,61-90,Camera  Standard,87,5,4,4.597701149425287
2025,6,SHOULDER,61-90,Camera Deluxe,65,2,1,1.5384615384615385
2025,6,SHOULDER,61-90,Camera Superior,96,3,1,1.0416666666666667
2025,6,SHOULDER,61-90,Suite Familiare,4,0,0,0.0
2025,6,SHOULDER,8-14,Appartamento Area Giardino,69,11,10,14.492753623188406
2025,6,SHOULDER,8-14,Appartamento Area Piscina,31,9,6,19.35483870967742
2025,6,SHOULDER,8-14,Camera  Standard,30,10,9,30.0
2025,6,SHOULDER,8-14,Camera Deluxe,8,2,1,12.5
2025,6,SHOULDER,8-14,Camera Superior,14,4,2,14.285714285714286
2025,6,SHOULDER,8-14,Suite Familiare Vista Piscina,1,0,0,0.0
2025,6,SHOULDER,8-14,Villino 2Ten,1,0,0,0.0
2025,6,SHOULDER,91-180,Appartamento Area Giardino,43,2,0,0.0
2025,6,SHOULDER,91-180,Appartamento Area Piscina,65,0,0,0.0
2025,6,SHOULDER,91-180,Camera  Standard,50,3,3,6.0
2025,6,SHOULDER,91-180,Camera Deluxe,28,0,0,0.0
2025,6,SHOULDER,91-180,Camera Superior,51,1,1,1.9607843137254901
2025,6,SHOULDER,91-180,Suite Familiare Vista Piscina,1,0,0,0.0
2025,6,SHOULDER,91-180,Villino 2Ten,1,1,1,100.0
2025,6,SHOULDER,91-180,Villino Double,2,0,0,0.0
2025,7,PEAK,0-7,Appartamento Area Giardino,71,3,2,2.816901408450704
2025,7,PEAK,0-7,Appartamento Area Piscina,54,7,5,9.25925925925926
2025,7,PEAK,0-7,Camera  Standard,9,2,1,11.11111111111111
2025,7,PEAK,0-7,Camera Deluxe,10,1,1,10.0
2025,7,PEAK,0-7,Camera Superior,11,2,2,18.181818181818183
2025,7,PEAK,0-7,Suite Familiare,2,1,1,50.0
2025,7,PEAK,0-7,Suite Familiare Vista Piscina,1,0,0,0.0
2025,7,PEAK,15-30,Appartamento Area Giardino,129,7,3,2.3255813953488373
2025,7,PEAK,15-30,Appartamento Area Piscina,191,11,8,4.18848167539267
2025,7,PEAK,15-30,Camera  Standard,54,9,9,16.666666666666668
2025,7,PEAK,15-30,Camera Deluxe,46,3,3,6.521739130434782
2025,7,PEAK,15-30,Camera Superior,21,2,1,4.761904761904762
2025,7,PEAK,15-30,Suite Familiare,13,0,0,0.0
2025,7,PEAK,15-30,Suite Familiare Vista Piscina,27,0,0,0.0
2025,7,PEAK,15-30,Villino Double,2,0,0,0.0
2025,7,PEAK,181+,Appartamento Area Giardino,19,0,0,0.0
2025,7,PEAK,181+,Appartamento Area Piscina,5,0,0,0.0
2025,7,PEAK,181+,Camera  Standard,10,1,1,10.0
2025,7,PEAK,181+,Camera Deluxe,5,1,1,20.0
2025,7,PEAK,181+,Camera Superior,15,3,3,20.0
2025,7,PEAK,181+,Villino 2Ten,1,0,0,0.0
2025,7,PEAK,31-60,Appartamento Area Giardino,47,3,3,6.382978723404255
2025,7,PEAK,31-60,Appartamento Area Piscina,211,12,8,3.7914691943127963
2025,7,PEAK,31-60,Camera  Standard,121,13,9,7.43801652892562
2025,7,PEAK,31-60,Camera Deluxe,73,0,0,0.0
2025,7,PEAK,31-60,Camera Superior,112,12,6,5.357142857142857
2025,7,PEAK,31-60,Suite Familiare,19,1,1,5.2631578947368425
2025,7,PEAK,31-60,Suite Familiare Vista Piscina,82,1,0,0.0
2025,7,PEAK,31-60,Villino Double,1,0,0,0.0
2025,7,PEAK,61-90,Appartamento Area Giardino,35,0,0,0.0
2025,7,PEAK,61-90,Appartamento Area Piscina,78,4,2,2.5641025641025643
2025,7,PEAK,61-90,Camera  Standard,85,2,2,2.3529411764705883
2025,7,PEAK,61-90,Camera Deluxe,111,2,2,1.8018018018018018
2025,7,PEAK,61-90,Camera Superior,101,3,1,0.9900990099009901
2025,7,PEAK,61-90,Suite Familiare,6,1,0,0.0
2025,7,PEAK,61-90,Suite Familiare Vista Piscina,39,0,0,0.0
2025,7,PEAK,8-14,Appartamento Area Giardino,62,9,5,8.064516129032258
2025,7,PEAK,8-14,Appartamento Area Piscina,94,4,2,2.127659574468085
2025,7,PEAK,8-14,Camera  Standard,29,5,2,6.896551724137931
2025,7,PEAK,8-14,Camera Deluxe,14,1,1,7.142857142857143
2025,7,PEAK,8-14,Camera Superior,7,0,0,0.0
2025,7,PEAK,8-14,Suite Familiare,3,1,0,0.0
2025,7,PEAK,8-14,Suite Familiare Vista Piscina,7,0,0,0.0
2025,7,PEAK,8-14,Villino 2Ten,1,0,0,0.0
2025,7,PEAK,8-14,Villino Double,2,1,1,50.0
