stay_year,stay_month_num,room_name,treatment,action_type,action,current_occupancy_pct,expected_occupancy_pct,current_revpar,optimized_revpar,economic_value_eur,economic_value_type,confidence,evidence,why
2025,7,Appartamento Area Piscina,Only Bed → Bed & Breakfast,PROMOTE_UPSELL,Appartamento Area Piscina · month 7: promote Only Bed → Bed & Breakfast to a controlled test cohort (10% target).,,,,,781.36,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 16.9% of bookings in this room-month; observed total-ADR premium €211.18.
2025,7,Camera Deluxe,Bed & Breakfast → Mezza Pensione,PROMOTE_UPSELL,Camera Deluxe · month 7: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,,,,,747.21,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 35.7% of bookings in this room-month; observed total-ADR premium €186.80.
2025,7,Camera Deluxe,,PRICE_UP,Change ROOM ADR +5% (224.18 → 235.39),100.0,97.05,224.18,228.44,660.26,MODELED_REVENUE,MEDIUM,OBSERVED,PRICE_POWER: tested price grid and selected +5% because it maximizes modeled RevPAR (224.18 -> 228.44) under the estimated price-volume response.
2025,7,Camera  Standard,Bed & Breakfast → Mezza Pensione,PROMOTE_UPSELL,Camera  Standard · month 7: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,,,,,548.22,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 41.1% of bookings in this room-month; observed total-ADR premium €42.83.
2025,7,Appartamento Area Piscina,Bed & Breakfast → Mezza Pensione,PROMOTE_UPSELL,Appartamento Area Piscina · month 7: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,,,,,442.12,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 49.3% of bookings in this room-month; observed total-ADR premium €46.05.
2025,7,Appartamento Area Giardino,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Appartamento Area Giardino · month 7: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,385.18,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 14.8% of bookings in this room-month; observed total-ADR premium €13.86.
2025,7,Camera Superior,Bed & Breakfast → Mezza Pensione,PROMOTE_UPSELL,Camera Superior · month 7: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,,,,,277.3,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 42.0% of bookings in this room-month; observed total-ADR premium €50.42.
2025,7,Suite Familiare Vista Piscina,,PRICE_DOWN,Change ROOM ADR -15% (356.66 → 303.16),22.58,27.66,80.54,83.86,102.99,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (80.54 -> 83.86) under the estimated price-volume response.
2025,8,Appartamento Area Giardino,,PRICE_UP,Change ROOM ADR +10% (167.78 → 184.55),102.53,100.0,172.03,184.55,10871.93,MODELED_REVENUE,MEDIUM,OBSERVED,PRICE_POWER: tested price grid and selected +10% because it maximizes modeled RevPAR (172.03 -> 184.55) under the estimated price-volume response.
2025,8,Camera  Standard,,PRICE_UP,Change ROOM ADR +10% (205.85 → 226.44),102.76,100.0,211.54,226.44,6463.78,MODELED_REVENUE,LOW,PRIOR,PRICE_POWER: tested price grid and selected +10% because it maximizes modeled RevPAR (211.54 -> 226.44) under the estimated price-volume response.
